campaign_id,date,channel,region,product,impressions,clicks,spend,revenue
55,2023-01-06,Social Media,West,Product_B,24053,2948,5019,13817
56,2023-05-05,TV,South,Product_D,88500,7465,9661,25548
57,2024-03-29,Billboard,Central,Product_D,72810,5273,2588,9172
58,2023-09-11,Partners,East,Product_D,83149,3616,3492,9640
59,2023-12-10,Email,Central,Product_A,19136,595,225,350
60,2024-02-29,TV,East,Product_D,55496,1038,1798,5167
61,2024-12-13,Social Media,Central,Product_D,63518,687,744,3051
62,2024-03-05,Billboard,Central,Product_B,64993,2646,2177,3086
63,2024-11-26,TV,South,Product_D,17728,2611,3275,13018
64,2024-11-09,Social Media,North,Product_D,18786,2467,1917,3695
65,2024-04-10,Email,East,Product_D,37471,4319,2803,4474
66,2023-01-20,Partners,Central,Product_A,46870,1940,865,2438
67,2023-02-01,Google Ads,South,Product_A,82439,2583,2332,7685
68,2023-08-12,TV,East,Product_C,22992,2180,4233,16276
69,2023-06-17,Email,North,Product_A,41888,3795,2636,8129
70,2023-07-23,Social Media,Central,Product_B,14356,1544,1532,5820
71,2024-08-02,Social Media,East,Product_D,87706,5427,7384,21019
72,2024-05-16,Social Media,West,Product_C,84307,11366,14520,22022
73,2024-06-18,Partners,East,Product_D,61931,4395,6036,15869
74,2023-03-30,Email,West,Product_B,99366,7458,3849,6756
75,2023-11-29,Google Ads,West,Product_B,47507,5781,8190,33968
76,2023-10-10,Billboard,North,Product_B,12221,535,421,1026
77,2024-05-02,Partners,West,Product_D,3260,75,49,139
78,2024-08-18,Email,West,Product_C,56771,8488,4076,9429
79,2023-11-10,Email,South,Product_A,95540,3531,782,2569
80,2023-07-09,Google Ads,South,Product_D,37241,4150,12217,29876
81,2023-04-13,Google Ads,East,Product_B,48301,1696,1075,2635
82,2023-02-25,Billboard,East,Product_B,84606,11132,9896,38054
83,2024-04-25,TV,West,Product_C,25164,3653,2936,8244
84,2023-03-08,TV,West,Product_A,76631,7519,3652,7098
85,2023-11-08,Social Media,South,Product_A,74147,8676,13372,38840
86,2024-06-19,TV,West,Product_D,39974,5213,10342,25108
87,2024-09-16,Partners,North,Product_B,82987,3281,4181,6364
88,2023-03-18,Google Ads,North,Product_D,60048,6395,11049,15253
89,2023-10-17,Partners,West,Product_A,91096,3887,2800,10263
90,2023-07-22,TV,North,Product_B,85886,2650,2186,2984
91,2023-11-11,Billboard,Central,Product_C,58560,1605,1807,7431
92,2024-05-27,Billboard,West,Product_D,11543,1081,1478,5237
93,2023-01-27,Social Media,South,Product_A,89117,11139,16566,45451
94,2024-06-15,Partners,West,Product_C,24788,3707,3559,16124
95,2024-04-26,Email,West,Product_C,43081,4472,2972,7711
96,2023-10-23,Partners,West,Product_A,60614,1353,951,1980
97,2024-06-10,Social Media,Central,Product_D,55165,970,1341,4095
98,2024-03-28,Social Media,South,Product_C,72987,2068,2002,7343
99,2023-01-30,Partners,Central,Product_B,94032,3025,3391,7384
100,2023-04-27,TV,North,Product_B,66323,9323,8082,25038
101,2024-05-09,TV,South,Product_D,73255,2215,1561,5372
102,2023-05-20,Social Media,East,Product_D,45548,6412,8745,27010
103,2023-11-02,Billboard,Central,Product_D,20476,1484,1307,3527
104,2024-01-22,TV,East,Product_B,92422,4014,4065,14004
105,2023-11-22,Partners,West,Product_D,51604,7656,11172,27669
106,2023-02-07,Google Ads,Central,Product_C,14154,1873,3103,8508
107,2023-05-28,TV,South,Product_A,62537,7467,6153,17659
108,2023-03-24,Email,Central,Product_D,42505,4154,2834,7897
109,2024-09-24,Social Media,South,Product_C,30817,3530,4345,8195
110,2023-04-13,TV,South,Product_C,4794,78,130,268
111,2023-05-30,Google Ads,Central,Product_D,75177,7927,8181,16893
112,2024-01-27,Billboard,South,Product_D,77435,2325,1984,3613
113,2023-01-10,TV,East,Product_B,10681,767,730,2347
114,2024-03-10,Partners,East,Product_D,40599,1538,1366,3115
115,2024-08-08,Email,Central,Product_C,92655,4756,3504,9530
116,2024-08-02,Partners,North,Product_D,38512,4567,3069,8942
117,2023-07-14,Billboard,East,Product_B,83345,1967,2071,3883
118,2023-02-04,Billboard,East,Product_B,12813,1759,1217,2535
119,2024-07-06,Email,Central,Product_C,22567,1037,668,2138
120,2023-12-13,Social Media,West,Product_A,19449,2247,1923,6778
121,2024-02-11,Billboard,East,Product_A,52717,629,593,1725
122,2024-11-19,Email,Central,Product_D,84695,11996,2579,3843
123,2024-07-28,Email,Central,Product_B,85889,1619,1043,3468
124,2024-02-23,Social Media,South,Product_A,5877,309,413,887
125,2023-05-19,TV,West,Product_C,88881,12702,19235,57702
126,2023-06-08,TV,North,Product_D,81694,5484,10542,15379
127,2024-03-30,TV,South,Product_C,14022,2065,2039,8320
128,2023-03-04,TV,East,Product_B,17011,2430,4176,5973
129,2024-10-16,Billboard,North,Product_A,44713,1971,889,1918
130,2024-07-21,Google Ads,Central,Product_B,31539,1766,1684,4432
131,2023-05-29,Google Ads,Central,Product_C,23871,606,1623,2716
132,2023-09-01,Billboard,East,Product_A,23838,1123,507,994
133,2023-03-07,TV,West,Product_C,68271,6356,7139,15675
134,2024-11-05,Billboard,East,Product_D,85323,12368,4613,11708
135,2024-12-03,Social Media,West,Product_D,10632,1444,1487,2157
136,2024-10-01,Partners,Central,Product_C,50925,7600,8305,23261
137,2023-04-12,Partners,North,Product_B,57370,4200,2813,6418
138,2024-03-01,Partners,North,Product_C,56936,3060,2162,9338
139,2024-04-30,Social Media,North,Product_A,13219,931,1666,3152
140,2023-03-03,Billboard,Central,Product_C,88819,2408,1744,6345
141,2023-02-22,Email,Central,Product_C,47090,1153,523,976
142,2023-04-21,Email,Central,Product_C,16058,1875,927,3936
143,2024-09-28,Billboard,Central,Product_A,80822,11320,14663,25701
144,2024-12-20,Email,East,Product_C,1800,63,14,32
145,2024-10-10,Social Media,North,Product_B,50308,3460,3680,10111
146,2024-08-04,Billboard,North,Product_A,21392,685,713,1960
147,2024-11-08,TV,West,Product_D,55287,2667,4288,7330
148,2023-10-18,Partners,Central,Product_D,70066,7244,2996,7898
149,2023-01-08,Google Ads,East,Product_B,18987,2221,2875,5166
150,2024-03-16,Google Ads,South,Product_D,70806,7683,13834,58680
151,2023-03-15,TV,North,Product_D,3456,257,134,292
152,2024-02-19,Partners,West,Product_C,16096,1073,1826,4469
153,2024-04-16,Partners,East,Product_A,58240,7467,5157,15547
154,2024-02-10,Email,East,Product_B,44655,5317,1041,3268
155,2023-07-18,Email,East,Product_B,31968,779,236,361
156,2024-11-02,Social Media,South,Product_D,61811,7146,12989,42728
157,2024-08-01,Partners,Central,Product_C,83210,4514,4359,12566
158,2023-10-09,Billboard,North,Product_C,67497,1376,1175,1725
159,2023-10-21,Social Media,North,Product_D,61648,5625,12192,29571
160,2024-08-08,Partners,South,Product_C,80299,6149,3450,4350
161,2023-12-18,Partners,North,Product_B,6130,273,262,690
162,2023-06-12,Email,East,Product_C,51779,3480,1228,4315
163,2024-10-24,Email,North,Product_C,13387,1179,450,1160
164,2024-09-09,Google Ads,East,Product_A,77380,7962,22295,55484
165,2024-11-09,TV,South,Product_A,41577,3669,5245,9455
166,2024-12-20,Partners,Central,Product_A,85675,8898,9448,12927
167,2023-08-08,Email,West,Product_B,30693,4603,1118,2936
168,2024-06-03,Billboard,Central,Product_A,87760,5015,6116,10350
169,2023-06-16,Google Ads,Central,Product_B,95526,6808,10797,29026
170,2024-03-30,Billboard,East,Product_D,31671,2684,1801,6224
171,2023-07-18,Email,Central,Product_D,61513,7241,4466,11712
172,2023-06-15,Google Ads,Central,Product_B,33768,584,1023,3131
173,2024-12-29,Billboard,North,Product_C,11993,1401,878,2605
174,2024-03-23,Social Media,South,Product_D,46820,6567,7859,18097
175,2024-01-31,Social Media,East,Product_B,4694,256,160,473
176,2023-05-30,Google Ads,North,Product_C,62925,6761,6308,19953
177,2023-01-06,Social Media,North,Product_C,29266,3713,5338,18007
178,2023-04-24,Email,South,Product_C,16970,283,113,383
179,2023-04-24,TV,Central,Product_A,83831,6886,5419,9645
180,2024-09-21,Email,South,Product_D,25551,2632,530,1545
181,2024-06-22,Billboard,Central,Product_A,52177,6901,2430,5539
182,2023-01-17,Email,North,Product_C,32604,3671,1934,7566
183,2023-12-07,Google Ads,North,Product_C,72567,4165,8924,35447
184,2024-12-13,TV,South,Product_B,9270,1021,1949,2547
185,2023-07-24,Social Media,East,Product_C,68552,4507,8643,16745
186,2024-10-24,Google Ads,East,Product_C,7265,953,1330,2218
187,2024-02-14,Partners,West,Product_D,45438,6648,6945,23907
188,2024-06-15,Email,North,Product_D,11345,797,595,1017
189,2023-04-16,Social Media,East,Product_C,41173,2982,5194,9619
190,2024-04-02,Social Media,East,Product_D,36986,3681,6900,12504
191,2024-02-20,Email,Central,Product_B,5081,152,78,194
192,2023-03-10,Google Ads,East,Product_C,51181,7315,4957,9056
193,2024-01-15,Email,West,Product_A,76225,2231,825,1635
194,2023-04-27,Social Media,South,Product_D,68861,4419,6456,11908
195,2024-04-01,Google Ads,Central,Product_C,91961,12718,22623,49522
196,2024-04-07,Google Ads,West,Product_A,90381,13146,39014,139205
197,2024-07-17,Billboard,East,Product_C,21644,2373,3352,12199
198,2024-06-04,Google Ads,North,Product_B,19202,828,1478,3704
199,2024-04-23,Billboard,South,Product_A,9617,512,767,2567
200,2024-02-24,Billboard,North,Product_B,42553,4252,3571,10362
201,2024-07-18,Partners,Central,Product_B,17912,1263,2052,2604
202,2023-06-06,Email,South,Product_B,43291,6098,1739,6803
203,2023-10-18,Social Media,East,Product_B,84238,12120,11441,37444
204,2023-04-06,Billboard,South,Product_B,23439,2395,2789,10129
205,2024-07-31,Social Media,North,Product_A,6958,993,1824,3258
206,2024-08-08,TV,Central,Product_A,66278,8911,11343,31035
207,2023-09-08,Partners,West,Product_C,60446,1221,529,1361
208,2023-07-28,Email,Central,Product_B,41970,5481,1872,6742
209,2024-02-13,Google Ads,East,Product_A,42827,1877,1678,3454
210,2023-02-21,Email,West,Product_D,33541,4855,3356,14945
211,2023-11-17,Google Ads,South,Product_D,68466,5159,13979,28917
212,2024-02-07,Billboard,West,Product_B,29199,2676,959,2236
213,2024-10-31,Partners,West,Product_C,71345,795,397,625
214,2024-01-10,TV,East,Product_A,53505,918,1192,2504
215,2024-01-31,Billboard,West,Product_C,82689,8703,3851,14198
216,2023-12-14,Billboard,East,Product_B,27090,2555,1997,2312
217,2024-12-31,Email,West,Product_D,20521,1946,893,2212
218,2023-06-16,TV,Central,Product_C,78820,4500,7763,24728
219,2023-11-03,TV,North,Product_C,44416,4634,9118,31786
220,2024-12-05,Partners,North,Product_D,35803,5205,7526,27098
221,2023-02-22,Billboard,West,Product_B,69712,6836,7134,20271
222,2024-11-28,Google Ads,North,Product_A,26006,329,445,931
223,2024-02-25,Billboard,Central,Product_D,97447,10898,12499,36233
224,2024-11-09,TV,Central,Product_D,42124,6063,6884,20042
225,2024-11-23,Partners,East,Product_D,26200,3773,2794,7938
226,2023-11-01,Email,South,Product_D,42555,3284,1596,6936
227,2023-10-22,Social Media,Central,Product_D,52712,6566,14237,43708
228,2023-10-22,Partners,North,Product_C,58983,6006,8386,20423
229,2023-10-05,Billboard,East,Product_B,15316,1473,1479,3432
230,2024-06-27,Google Ads,South,Product_A,14133,959,2226,4531
231,2023-01-06,Billboard,South,Product_D,86575,12198,16517,36467
232,2023-10-22,Email,East,Product_A,12725,1289,372,1506
233,2023-02-08,Google Ads,West,Product_B,5763,862,1338,4623
234,2023-10-24,Social Media,North,Product_C,75443,7121,15105,34342
235,2024-10-18,Billboard,Central,Product_D,18589,2400,2067,3144
236,2023-06-16,Partners,West,Product_C,95188,3433,4741,17154
237,2023-07-17,Google Ads,Central,Product_D,57059,4686,3787,9743
238,2023-05-24,TV,East,Product_B,1895,88,68,292
239,2023-11-06,Billboard,Central,Product_A,35282,3581,4051,5169
240,2023-11-11,Google Ads,West,Product_C,91477,2418,6767,16183
241,2023-08-13,Google Ads,West,Product_B,60634,6953,14279,37334
242,2024-04-27,Billboard,South,Product_B,90173,10429,14055,23193
243,2024-12-21,Email,North,Product_A,9094,1146,792,1623
244,2023-06-18,Email,Central,Product_D,16235,1708,990,3339
245,2024-04-01,Social Media,West,Product_B,68272,4653,6816,21792
246,2023-11-12,Partners,North,Product_D,34352,4270,5952,12749
247,2023-12-19,Partners,North,Product_A,10046,1487,1503,2693
248,2023-05-19,Partners,West,Product_C,51132,3722,6081,11117
249,2024-11-08,Billboard,South,Product_C,16549,578,546,1751
250,2023-08-17,Social Media,North,Product_C,61686,6433,9199,31082
251,2023-09-11,TV,East,Product_B,37129,1351,2432,5972
252,2024-11-07,TV,Central,Product_A,32544,1264,709,1188
253,2024-12-21,Social Media,South,Product_A,53725,3838,5455,21529
254,2023-05-24,Billboard,East,Product_B,96881,8782,8720,35637
255,2023-08-31,Email,South,Product_B,55206,2874,536,2547
256,2023-06-29,Partners,West,Product_D,7145,1044,1741,6482
257,2023-11-23,Partners,West,Product_D,20558,1068,648,1556
258,2023-08-19,Email,South,Product_D,8552,758,553,1248
259,2023-09-06,Email,South,Product_C,85765,1807,758,1879
260,2023-07-15,Social Media,East,Product_D,89299,8456,4407,8767
261,2024-08-24,Partners,Central,Product_B,63835,2505,4057,11408
262,2023-08-05,Google Ads,North,Product_D,32797,3521,8059,16939
263,2023-11-26,Email,West,Product_D,70946,7152,2396,7068
264,2024-04-22,Social Media,West,Product_C,27624,1709,2042,4942
265,2023-05-30,Social Media,East,Product_D,39691,1243,1297,3812
266,2024-05-26,Billboard,East,Product_C,65044,9451,10112,22082
267,2023-12-27,Google Ads,South,Product_D,25123,3476,6608,15083
268,2023-02-04,Social Media,North,Product_A,55053,1610,2552,3369
269,2023-08-12,Billboard,West,Product_C,8923,861,947,2851
270,2024-05-14,Social Media,North,Product_D,2553,31,54,133
271,2024-05-29,Partners,West,Product_B,15026,2081,2256,5083
272,2023-09-16,Email,East,Product_D,11357,706,277,1044
273,2023-08-20,Email,North,Product_A,13255,884,332,966
274,2024-12-20,Google Ads,North,Product_D,57873,5803,8095,40996
275,2024-06-24,Social Media,South,Product_B,91739,12316,16083,19357
276,2023-10-15,Billboard,Central,Product_A,24508,3431,2324,9545
277,2024-12-30,TV,North,Product_C,22292,1982,2589,10378
278,2024-07-07,Email,West,Product_B,91349,10174,4583,13207
279,2024-03-23,Google Ads,North,Product_C,80320,9450,27326,79265
280,2023-01-31,Partners,East,Product_D,65304,2738,3078,6090
281,2024-08-22,Partners,West,Product_A,82083,4215,2929,4245
282,2024-01-25,Partners,South,Product_D,42507,2571,1229,4583
283,2023-10-04,Social Media,South,Product_A,25561,1797,2610,5530
284,2023-04-02,Email,Central,Product_A,79240,7426,2559,5515
285,2024-02-02,Social Media,Central,Product_B,75967,6301,10608,17577
286,2023-10-02,TV,South,Product_A,22916,1623,1742,3523
287,2023-09-15,Google Ads,West,Product_B,61012,1523,2027,7058
288,2024-09-27,TV,East,Product_D,44874,3154,5417,17901
289,2023-11-04,Email,Central,Product_B,63784,3443,2509,8608
290,2024-12-12,Partners,West,Product_B,43714,2738,4088,7796
291,2024-07-31,Google Ads,Central,Product_B,90353,10613,7053,29622
292,2023-08-03,TV,East,Product_A,54627,5693,3544,6812
293,2023-06-07,Partners,West,Product_D,10694,779,924,2787
294,2024-12-09,TV,Central,Product_A,48124,5208,8851,32984
295,2023-04-22,Google Ads,East,Product_B,85803,8217,16037,54311
296,2023-12-06,TV,North,Product_A,13924,643,782,2292
297,2024-08-12,Google Ads,West,Product_C,52266,3911,8725,22249
298,2023-01-26,TV,North,Product_C,55522,7710,4143,16872
299,2023-12-23,Email,East,Product_D,28114,2332,837,1654
300,2024-04-08,Email,North,Product_C,6856,846,185,729
301,2024-11-24,Google Ads,South,Product_B,73339,2377,4620,15104
302,2024-02-19,Partners,South,Product_B,84948,8666,7832,32205
303,2024-04-05,Billboard,West,Product_D,1583,172,94,376
304,2023-03-06,Billboard,North,Product_B,48945,2723,2311,6066
305,2024-06-24,Partners,East,Product_D,81125,5269,2686,6230
306,2023-06-26,Partners,East,Product_A,89094,2561,1318,2415
307,2024-12-11,Google Ads,Central,Product_D,55819,5219,10331,26211
308,2024-07-04,Partners,South,Product_B,65178,3287,2011,7768
309,2024-01-03,Social Media,West,Product_B,26575,3298,7205,19851
310,2024-12-02,TV,West,Product_D,65054,2173,2834,8231
311,2023-02-03,Email,South,Product_C,23047,2749,1345,4602
312,2024-06-07,Social Media,Central,Product_A,36112,4279,8266,23847
313,2023-02-12,Partners,West,Product_B,56725,1380,2086,6191
314,2023-02-03,TV,East,Product_C,12401,886,1763,5106
315,2024-08-25,Partners,East,Product_D,22755,2190,3172,13263
316,2024-08-06,Email,Central,Product_C,79231,6768,2329,6633
317,2023-10-01,Billboard,North,Product_B,99316,11917,16713,81191
318,2023-05-10,Partners,South,Product_B,20168,2210,3336,12555
319,2024-05-16,Google Ads,Central,Product_C,83288,5662,9539,36128
320,2023-04-06,TV,Central,Product_C,92056,12987,12863,44686
321,2023-01-03,Partners,North,Product_D,84209,8671,7383,12496
322,2023-08-12,TV,South,Product_D,36197,1998,1705,3806
323,2024-05-11,Email,North,Product_A,14051,1372,894,1732
324,2023-06-11,TV,West,Product_A,57072,2187,3284,6549
325,2023-06-12,Email,North,Product_C,33819,728,399,910
326,2024-10-02,Email,South,Product_D,86915,1978,409,621
327,2024-08-30,Google Ads,Central,Product_D,2217,24,34,74
328,2024-12-11,Google Ads,West,Product_A,31008,1973,4644,7241
329,2023-11-03,Google Ads,West,Product_B,85092,12679,11954,23821
330,2024-10-27,Google Ads,West,Product_C,95690,3811,9130,37107
331,2024-03-29,Google Ads,North,Product_A,19351,2231,4495,14131
332,2023-11-19,Google Ads,South,Product_C,85491,1863,3592,11471
333,2024-12-08,Social Media,East,Product_B,68862,6539,5162,13921
334,2023-09-03,TV,West,Product_A,32599,2606,3518,12767
335,2024-01-05,Email,South,Product_D,75498,5203,2486,4719
336,2023-03-16,Social Media,Central,Product_A,2807,131,68,131
337,2024-06-02,Email,Central,Product_D,56518,6118,1220,3707
338,2023-10-12,Social Media,East,Product_A,68017,9449,20823,35235
339,2024-08-23,Partners,North,Product_C,92576,6595,11111,19723
340,2024-03-20,Social Media,West,Product_A,41539,4288,7008,9615
341,2023-05-21,Partners,North,Product_B,66065,9475,10253,40145
342,2023-06-20,Email,South,Product_C,97067,13016,7976,14861
343,2023-10-06,Billboard,North,Product_C,94365,13825,14558,40152
344,2023-02-26,TV,Central,Product_B,49193,1575,2578,10636
345,2023-04-29,Google Ads,Central,Product_A,6772,881,554,821
346,2023-06-03,Google Ads,North,Product_D,30427,1675,2678,7626
347,2023-03-21,Billboard,East,Product_A,66803,6965,2529,5253
348,2023-02-17,TV,North,Product_D,38002,4495,4032,6739
349,2024-01-13,Google Ads,East,Product_C,97937,9517,16306,48385
350,2023-07-20,Partners,Central,Product_B,20735,225,207,391
351,2024-12-11,Social Media,East,Product_A,87154,5462,9714,18140
352,2023-09-01,TV,West,Product_A,19661,2155,1182,5566
353,2024-06-16,TV,East,Product_D,99028,2167,1198,2618
354,2023-03-18,Billboard,Central,Product_A,58014,5960,2722,7345
355,2024-02-07,Partners,East,Product_C,60343,2900,1318,3089
356,2024-08-21,Social Media,South,Product_A,22544,1644,1669,2751
357,2023-08-01,TV,East,Product_D,35735,4622,2517,7816
358,2024-12-22,Partners,Central,Product_A,29183,3707,2998,4398
359,2023-12-31,TV,Central,Product_A,89759,4652,7964,19587
360,2024-04-08,Billboard,Central,Product_B,13415,1001,1265,1654
361,2023-08-16,Google Ads,South,Product_D,49790,5281,15051,27068
362,2023-03-18,Social Media,North,Product_B,85670,6175,4210,18971
363,2023-12-06,Social Media,North,Product_D,7637,255,378,1258
364,2023-01-31,TV,West,Product_B,47392,1898,1327,3590
365,2023-02-05,Billboard,Central,Product_B,85840,4404,3498,7412
366,2023-10-14,TV,South,Product_D,27143,2713,4545,12508
367,2024-07-10,Social Media,West,Product_C,63873,5507,7282,27577
368,2024-02-02,Email,South,Product_A,42795,4005,671,2055
369,2024-04-28,Billboard,East,Product_B,21922,526,572,1474
370,2023-02-27,Google Ads,Central,Product_D,47504,6694,19946,32482
371,2023-11-22,Partners,East,Product_A,93202,10073,16888,50987
372,2023-07-12,TV,Central,Product_C,24010,1888,1027,1777
373,2024-06-23,TV,North,Product_C,81495,3113,1895,7806
374,2023-11-28,Social Media,North,Product_B,77888,8463,5966,10770
375,2024-01-09,Social Media,East,Product_D,77810,1878,1865,2728
376,2024-03-23,Partners,West,Product_C,23833,2597,2952,11743
377,2024-01-01,Google Ads,Central,Product_B,50595,2679,6034,12478
378,2024-12-19,Billboard,West,Product_A,24865,2345,3295,10750
379,2024-08-02,Social Media,West,Product_B,44406,5077,4459,14124
380,2023-04-01,Partners,East,Product_D,2493,117,81,115
381,2023-04-21,Partners,North,Product_A,51585,3680,3450,6268
382,2024-01-23,Email,Central,Product_D,14294,1801,1122,3816
383,2023-08-19,Google Ads,West,Product_A,5379,275,375,1083
384,2023-06-24,TV,South,Product_A,72702,10313,20263,61348
385,2024-05-09,Partners,North,Product_D,86673,2868,4576,6589
386,2023-07-30,Google Ads,West,Product_C,87585,4327,5063,8576
387,2024-05-17,Google Ads,North,Product_C,1500,104,135,451
388,2023-07-24,Social Media,North,Product_B,23391,2323,5130,10592
389,2024-02-12,TV,West,Product_C,12945,1292,1317,2969
390,2023-07-11,TV,North,Product_C,58637,4404,3355,5368
391,2024-12-14,Partners,North,Product_A,88574,5148,5704,23604
392,2024-07-20,Social Media,West,Product_D,71190,7559,16141,39815
393,2023-11-03,Social Media,West,Product_A,66811,6011,8296,31334
394,2023-05-31,Social Media,West,Product_B,22910,3347,6376,11043
395,2024-11-30,TV,South,Product_B,78994,3641,6762,18947
396,2024-02-02,Billboard,West,Product_C,37202,3078,4311,7393
397,2024-08-24,Billboard,West,Product_A,55321,1712,1677,6341
398,2023-04-13,Social Media,Central,Product_A,38498,5060,10293,32647
399,2024-11-01,TV,Central,Product_D,5910,201,209,705
400,2024-02-16,Social Media,West,Product_C,91507,3958,7094,33397
401,2023-01-21,Email,East,Product_C,37745,4831,3212,13242
402,2023-08-22,Google Ads,East,Product_D,43056,2054,3286,8316
403,2023-08-05,TV,West,Product_C,8367,687,449,1026
404,2023-05-19,Billboard,Central,Product_A,23772,879,1142,3485
405,2024-04-12,Social Media,East,Product_B,36910,2272,2920,9125
406,2024-11-28,Social Media,South,Product_C,65066,6061,4664,18039
407,2023-12-25,Email,South,Product_C,99167,12526,2558,2928
408,2024-08-08,Google Ads,South,Product_B,89826,3498,7569,25674
409,2024-11-29,Social Media,West,Product_B,85852,2940,5561,12196
410,2023-11-09,Partners,East,Product_D,50345,6505,6456,11638
411,2024-06-17,Billboard,West,Product_A,1963,160,175,583
412,2024-10-24,Billboard,Central,Product_C,40121,4245,3727,7553
413,2023-11-29,Email,East,Product_C,25688,796,484,2147
414,2024-09-06,TV,East,Product_B,95540,1295,1548,4312
415,2024-02-19,TV,North,Product_B,45979,5136,3881,12890
416,2024-11-18,Email,Central,Product_C,23280,2972,2008,2974
417,2023-05-12,Partners,East,Product_B,90091,12247,15507,26585
418,2023-11-11,TV,East,Product_C,35152,3233,3692,4850
419,2024-10-11,Billboard,Central,Product_A,62894,8460,7618,25964
420,2023-11-02,TV,North,Product_B,19004,2830,2683,13155
421,2024-04-13,Google Ads,East,Product_B,11592,907,1917,4023
422,2023-01-05,TV,East,Product_B,23099,2094,1368,5532
423,2023-05-13,Billboard,West,Product_D,53873,3774,3294,5080
424,2024-01-18,Social Media,East,Product_B,3348,350,552,1307
425,2023-12-19,Email,South,Product_A,51272,4125,1376,1664
426,2023-10-25,TV,Central,Product_C,57841,7768,15479,45267
427,2024-01-03,Google Ads,South,Product_D,3506,147,344,717
428,2024-08-26,Billboard,South,Product_A,49049,5373,6719,17759
429,2024-07-01,Billboard,North,Product_A,87765,2206,2875,3585
430,2024-03-30,TV,North,Product_C,63180,6839,4984,11303
431,2024-03-06,Partners,North,Product_C,82631,7832,4245,11583
432,2024-09-24,Social Media,East,Product_A,14928,1189,1838,7591
433,2023-07-26,Email,West,Product_C,22020,341,152,386
434,2023-12-05,Google Ads,North,Product_A,89032,1999,1729,5057
